ID,Comments,Sentiments,Keyword1,Keyword2
1,Asked about storage options and multiple SIMs. Referred him to web site.,analytical,SIM,Storage
6,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
8,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
11,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
14,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
17,Dissatisfied with the promotion. Upset that the rebate submission was rejected,frustrated,promotion,rebate
18,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
21,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
22,Upset about the data speed,frustrated,data plan,speed
23,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
24,Asked how to install apps on SD card. Described the steps and referred him to the FAQ section on our web site,analytical,SD Card,Apps
29,Asked how to install apps on SD card. Described the steps and referred him to the FAQ section on our web site,analytical,SD Card,Apps
35,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
36,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
37,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
38,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
40,Said his battery never has worked well. Wants a new phone ASAP.,frustrated,battery,new phone
42,He charges it and after a couple of calls it simply dies on him. He replaced the battery per our suggestion and he still has the same problem.,frustrated,charging,battery
45,Asked how to install apps on SD card. Described the steps and referred him to the FAQ section on our web site,analytical,SD Card,Apps
48,Asked how to install apps on SD card. Described the steps and referred him to the FAQ section on our web site,analytical,SD Card,Apps
52,He expected significantly better Technical Support.,frustrated,technical,support
53,He asked for a new phone number. I referred him to customer care.,analytical,new number,customer care
54,He expected significantly better Technical Support.,frustrated,technical,support
60,He expected significantly better Technical Support.,frustrated,technical,support
61,transferred to the supervisor,,supervisor,delegation
62,He says that his phone works fine when using it in the car with the adapter but the battery performance sucks.,frustrated,car adapter,battery
63,He expected significantly better Technical Support.,frustrated,technical,support
65,Claims the phone does not work well. If the phone does not work consistently why should he pay consistently. Good point.,impolite,performance,payment
68,Does not understand why his phone dies every time he gets to a certain intersection. I explained the concept of towers and wholes in coverage. He said that the sales person never told him about this. He wanted to know when we would fix such holes.,frustrated,coverage / reception / signal,misinformation
71,Asked about low-end smartphone with basic features. I suggested customer to go to a retail store and take a look at our products & talk to a sales agent.,analytical,basic config,smartphone
