ID,Gender,Status,Children,Est Income,Car Owner,Age,Marital Status,zipcode,LongDistance,International,Local,Dropped,Paymethod,LocalBilltype,LongDistanceBilltype,Usage,RatePlan,DeviceOwned,CHURN
23,M,M,2,20078,N,32.846667,Single,95051,9.65,0,6.33,0,CC,Budget,Intnl_discount,15.98,4,ipho,F
24,F,M,2,47902,N,26.033333,,,17.44,4.94,49.92,1,Auto,FreeLocal,Standard,72.31,2,moto,F
29,M,M,1,7545.96,Y,16.753333,,,22.39,0,178.36,0,CC,Budget,Standard,200.75,3,sam,T
35,F,S,0,78851.3,N,48.373333,,,0.37,0,28.66,0,CC,FreeLocal,Standard,29.04,4,ipho,T
36,F,S,1,17540.7,Y,62.786667,,,22.17,0.57,13.45,0,Auto,Budget,Standard,36.2,4,ipho,T
37,F,M,0,83891.9,Y,61.02,,,28.92,0,45.47,0,CH,Budget,Standard,74.4,4,ipho,T
38,F,M,2,28220.8,N,38.766667,,,26.49,0,12.46,0,CC,FreeLocal,Standard,38.95,4,ipho,T
40,F,S,0,28589.1,N,15.6,,,13.19,0,87.09,0,CC,FreeLocal,Standard,100.28,4,ipho,T
42,F,M,2,5237.63,N,48.753333,,,13.32,8.05,56.64,0,CC,Budget,Standard,78.02,2,ipho,F
45,M,S,2,89459.9,N,53.28,,,11.54,1.61,22.9,0,CC,FreeLocal,Standard,36.05,2,ipho,T
48,F,S,1,13576.5,N,39.426667,,,14.83,0,25.66,0,CC,Budget,Standard,40.49,1,ipho,T
52,F,M,2,67388,N,53.12,,,4.79,0.5,91.04,1,CC,Budget,Standard,96.33,3,ipho,T
53,F,M,1,57063,Y,52.333333,,,16.79,0,81.3,0,CH,Budget,Standard,98.1,4,ipho,F
54,F,M,2,84166.1,N,54.013333,,,3.28,0,11.74,1,CC,Budget,Standard,15.02,2,ipho,T
60,F,S,1,7737.94,N,42.666667,,,11.05,0,50.84,0,CC,FreeLocal,Standard,61.9,4,ipho,T
61,M,S,2,100020,N,50,,,21.37,0,293.24,0,CH,Budget,Standard,314.62,4,ipho,T
62,F,M,2,45287.6,Y,29.026667,,,0,0,2.97,0,CC,Budget,Standard,2.97,3,ipho,F
63,F,M,2,59613.1,N,34.32,,,12.37,0,163.41,0,CC,Budget,Intnl_discount,175.78,1,ipho,T
65,F,S,1,16326.7,N,50.613333,,,0,0,1.34,0,CC,FreeLocal,Intnl_discount,1.34,1,ipho,T
68,F,S,2,9559.78,N,51.38,,,18.31,0,59.59,0,CC,FreeLocal,Standard,77.91,3,ipho,T
71,F,M,2,42031.8,N,50.753333,,,20.45,0,39.33,0,CH,Budget,Intnl_discount,59.78,4,ipho,F
73,F,M,2,83284.1,Y,28.42,,,26.91,0,9.04,0,Auto,FreeLocal,Intnl_discount,35.96,4,ipho,F
74,M,M,1,39229.1,N,26.26,,,28.82,4.74,13.53,0,CC,Budget,Intnl_discount,47.1,4,ipho,F
75,F,S,0,68427.4,N,42.393333,,,23.76,0,50.05,0,Auto,FreeLocal,Standard,73.81,3,ipho,F
77,M,S,0,3601.71,N,49.266667,,,9.57,4.19,111.84,0,Auto,Budget,Intnl_discount,125.6,4,ipho,T
78,F,M,0,72642.6,N,27.646667,,,18.66,0,20.34,0,CH,FreeLocal,Intnl_discount,39,4,ipho,F
79,F,S,0,98716.3,N,55.66,,,20.97,8.23,13.92,0,CC,FreeLocal,Standard,43.13,4,ipho,T
80,F,S,2,66182.7,Y,62.48,,,11.7,0,47.17,0,Auto,Budget,Standard,58.87,2,ipho,F
81,F,M,2,84789.3,N,50.433333,,,14.22,8.8,10.45,0,CH,FreeLocal,Standard,33.47,4,ipho,T
83,F,M,2,35976.5,Y,48.853333,,,18.85,0,31.78,0,Auto,FreeLocal,Intnl_discount,50.63,4,ipho,T
84,F,M,0,32703.1,Y,64.92,,,16.8,0,56.09,0,CC,Budget,Intnl_discount,72.89,4,ipho,F
85,F,M,1,77129.1,Y,61.846667,,,24.77,0,20.07,0,CH,FreeLocal,Intnl_discount,44.85,4,ipho,F
86,F,M,2,8204.72,N,52.973333,,,15.59,0,24.19,0,CH,FreeLocal,Standard,39.79,3,ipho,F
87,M,M,1,97180.4,N,50.6,,,8.21,9.63,45.66,0,CC,FreeLocal,Standard,63.51,4,ipho,T
88,F,M,0,80405.1,N,60.226667,,,2.91,8.95,17.11,0,CC,FreeLocal,Standard,28.98,4,ipho,F
89,F,S,2,38280,N,33.74,,,11.64,0,74.97,0,Auto,FreeLocal,Intnl_discount,86.61,4,ipho,T
90,M,S,0,64136.6,Y,61.106667,,,16.21,1,125.15,0,CC,FreeLocal,Intnl_discount,142.37,2,ipho,T
92,F,M,2,45429.7,Y,61.713333,,,24.7,0,73.04,0,CH,FreeLocal,Standard,97.74,2,ipho,T
94,F,S,0,25285.5,N,53.986667,,,9.37,0,11.93,0,CC,FreeLocal,Standard,21.3,1,ipho,T
95,F,M,2,77551.1,Y,33.6,,,20.53,0,41.89,1,CC,Budget,Intnl_discount,62.42,2,ipho,F
96,F,M,0,38538.4,N,12.326667,,,22.86,8.32,16.48,0,CC,FreeLocal,Standard,47.66,3,ipho,T
97,F,S,0,69350.5,Y,57.42,,,1.9,0,25.95,0,CC,FreeLocal,Standard,27.86,4,ipho,F
104,M,S,2,43634.5,N,21.78,,,29.44,9.42,104.64,0,CC,Budget,Standard,143.5,1,ipho,T
108,F,S,1,13109.1,N,62.606667,,,22.38,0,40.48,0,Auto,Budget,Standard,62.87,1,ipho,T
109,M,S,1,92647.5,N,56.046667,,,16.04,5.74,10.34,0,CC,Budget,Standard,32.13,4,ipho,T
110,F,S,2,21021.6,Y,62.753333,,,1,0,11.19,0,CC,Budget,Standard,14.95,3,ipho,T
111,M,S,0,74460.7,Y,55.34,,,25.53,0.99,179.93,0,CC,FreeLocal,Standard,206.46,2,ipho,T
114,F,S,2,28787.4,N,41.666667,,,27.97,0,58.09,0,Auto,Budget,Standard,86.06,2,ipho,T
117,M,M,1,13091.6,N,59.126667,,,22.79,0,20.26,0,CC,Budget,Intnl_discount,43.06,2,ipho,F
120,F,M,2,62061.8,Y,45.92,,,29.86,0,52.22,0,Auto,FreeLocal,Standard,82.08,2,ipho,F
121,F,M,1,20550.9,Y,22.12,,,27.72,0.86,57.06,0,CC,Budget,Standard,85.64,3,ipho,T
124,M,M,2,1765.41,N,18.766667,,,3.04,0,44.95,0,CC,FreeLocal,Standard,47.99,4,ipho,F
127,F,S,2,19131.1,N,56.186667,,,22.15,0,34.91,0,Auto,Budget,Standard,57.07,2,ipho,T
130,F,S,2,83073.7,N,39.553333,,,0,0,3.2,0,CC,Budget,Standard,3.2,4,ipho,F
133,M,M,2,42750.3,Y,50.493333,,,20.59,1.97,112.4,0,Auto,Budget,Intnl_discount,134.97,1,ipho,F
135,F,S,2,2842.55,N,45.92,,,0,0,0.79,0,Auto,Budget,Intnl_discount,0.79,2,ipho,T
136,M,M,2,22358.1,N,52.626667,,,15.54,1.52,12.19,0,CC,Budget,Standard,29.25,1,ipho,F
138,M,M,0,47870.8,Y,27.26,,,2,1.17,12.48,0,CC,FreeLocal,Standard,13.82,2,ipho,F
139,F,S,2,6440.46,Y,52.646667,,,22.66,0,27.2,0,CH,Budget,Standard,49.86,1,ipho,F
140,F,S,0,7325.5,N,36.92,,,28.52,0,161.54,0,CC,FreeLocal,Intnl_discount,190.06,2,ipho,T
142,M,M,2,28766.9,N,46.84,,,6.11,0,58.08,0,CC,Budget,Standard,64.2,1,ipho,F
148,M,M,2,91272.2,Y,25.033333,,,26.99,0,13.01,0,CC,FreeLocal,Standard,40,3,ipho,F
154,M,S,0,65000,Y,45.653333,,,11.63,9.7,115.66,1,Auto,FreeLocal,Intnl_discount,137,4,ipho,T
158,M,M,2,1406.05,Y,19.306667,,,11.55,0,15.17,0,CC,Budget,Standard,26.72,1,ipho,F
160,F,S,0,73228.3,N,62,,,22.47,0,28.11,0,Auto,Budget,Standard,50.58,4,ipho,F
161,F,S,2,76231.9,N,63.806667,,,2.01,0,150.75,0,Auto,FreeLocal,Standard,152.76,2,ipho,F
166,M,M,1,64792.3,N,52.146667,,,13.05,1.51,36.84,0,CH,FreeLocal,Standard,51.41,3,ipho,T
169,F,S,0,93322.1,Y,40.313333,,,29.92,0,8.79,0,CH,Budget,Intnl_discount,38.72,1,ipho,T
174,M,M,1,63437.3,N,63.653333,,,0.68,3.35,10.94,0,CC,Budget,Intnl_discount,14.98,4,ipho,T
178,M,M,2,49910.7,Y,51.52,,,27.42,0,23.72,0,CC,Budget,Standard,51.14,3,ipho,F
180,M,M,0,76161.4,Y,44.573333,,,11.96,0,25.58,0,CC,FreeLocal,Standard,37.55,4,ipho,T
181,F,M,2,55860,Y,14.573333,,,16.01,0,10.35,0,CC,FreeLocal,Intnl_discount,26.37,3,ipho,F
182,F,S,1,12686,N,64.8,,,23.23,0,80.64,0,Auto,Budget,Standard,103.88,2,ipho,T
190,M,M,2,57360.8,Y,53.253333,,,10.36,0,57.25,0,CC,FreeLocal,Standard,67.61,1,ipho,F
191,M,M,0,92414.7,Y,45.513333,,,29.43,0,10.62,0,CC,FreeLocal,Standard,40.06,4,ipho,T
192,M,M,1,60102.7,N,42.14,,,9.84,0,62.44,1,CH,FreeLocal,Standard,72.29,3,ipho,T
194,F,M,2,17888.7,N,55,,,29.41,0,332.46,0,CC,Budget,Standard,361.88,1,ipho,F
195,F,S,1,12526.3,N,53.553333,,,11.72,0,28.86,0,CC,FreeLocal,Intnl_discount,40.59,2,ipho,T
198,F,S,2,14578.8,Y,60.933333,,,11.91,0,95.1,0,Auto,Budget,Standard,107.02,1,ipho,T
201,M,M,0,78572.2,Y,42.346667,,,21.81,0,29.28,1,CC,FreeLocal,Standard,51.09,4,ipho,T
203,F,M,2,48238.8,N,34.706667,,,23.28,0,168.03,0,CC,FreeLocal,Standard,191.32,4,moto,F
205,F,M,0,28770.9,N,12.34,,,27.99,5.32,16.27,0,CH,FreeLocal,Standard,49.6,4,moto,F
206,F,M,2,87578.2,Y,53.366667,,,0.29,0,22.15,0,CC,Budget,Standard,22.44,1,moto,F
207,F,M,2,86695.4,N,13.906667,,,25.94,0,32.09,0,CC,FreeLocal,Standard,58.03,2,moto,F
209,F,S,2,76791.2,N,61,,,20.71,0,23,0,CC,Budget,Intnl_discount,43.71,4,moto,F
213,F,D,0,30763.8,Y,14.193333,,,21.32,0,35.85,0,CC,Budget,Standard,57.17,4,moto,T
214,F,M,2,3193.6,N,54.046667,,,4.19,0,114.62,1,CH,Budget,Standard,118.82,3,moto,F
215,M,M,1,69680.9,N,15.846667,,,7.67,0,32.12,0,CC,FreeLocal,Intnl_discount,39.8,2,moto,F
218,F,M,0,83287,N,45.486667,,,29.64,0,90.18,4,Auto,FreeLocal,Intnl_discount,119.82,3,moto,F
219,M,S,0,2056.06,Y,18.94,,,24.07,6.98,27.75,0,Auto,Budget,Standard,58.8,2,moto,T
220,F,M,2,7776.6,N,35.706667,,,25.87,0,68.33,0,CC,FreeLocal,Standard,94.2,4,moto,F
221,M,M,1,2067.82,N,47.853333,,,15.25,0,70.65,0,CC,Budget,Intnl_discount,85.9,4,moto,F
222,M,S,0,66666,N,52,,,4.58,7.66,8.49,0,CH,Budget,Standard,20.74,1,moto,T
224,F,M,2,69343.3,N,42.166667,,,6.36,0,15.54,0,CC,FreeLocal,Standard,21.91,2,moto,F
225,F,M,0,77000,N,55,,,0.57,0,23.89,2,Auto,Budget,Standard,24.46,4,moto,F
228,F,M,0,14932.5,N,52,,,4.91,0,6.5,0,CC,Budget,Intnl_discount,11.42,1,moto,F
229,F,S,0,27498.1,N,42,,,2.2,0,9.88,0,CC,Budget,Intnl_discount,12.08,4,moto,F
231,F,M,2,21419.9,N,59.833333,,,26.39,0,103.12,0,CC,FreeLocal,Standard,129.51,1,moto,F
232,F,M,2,30665.2,Y,22.88,,,5.83,8.32,63.28,0,Auto,FreeLocal,Standard,77.44,3,moto,F
233,F,M,1,66000,Y,63.353333,,,6.08,0,30.95,0,Auto,FreeLocal,Intnl_discount,37.04,2,moto,F
234,F,M,2,50561.3,N,52,,,16.6,0,113.31,1,CH,Budget,Standard,129.91,2,moto,F
236,F,S,2,23464,Y,70,,,22.43,0,41.71,0,CC,Budget,Intnl_discount,64.14,3,moto,T
237,F,M,2,194.57,N,42,,,28.26,0,38.95,0,CC,FreeLocal,Standard,67.21,4,moto,F
238,F,M,1,98680.4,Y,55,,,17.58,0,8.85,0,CH,FreeLocal,Intnl_discount,26.44,4,moto,F
239,M,M,1,65619.7,Y,46,,,13.56,0,144.66,0,CC,Budget,Standard,158.22,3,moto,T
240,F,M,1,95620.3,Y,52,,,10.91,0,93.61,0,CC,Budget,Standard,104.53,2,moto,F
241,F,S,0,85275,N,47,,,22.48,0,151.61,0,Auto,FreeLocal,Intnl_discount,174.09,2,moto,F
242,F,M,1,66921.4,Y,43,,,15.7,0,8.97,0,CC,FreeLocal,Intnl_discount,24.67,3,moto,F
243,F,M,1,98453.6,Y,46,,,13.72,0,11.65,0,Auto,FreeLocal,Standard,25.38,3,moto,F
244,F,M,2,94026.8,Y,27.746667,,,25,0,10.62,0,CC,FreeLocal,Intnl_discount,35.63,3,moto,F
246,F,S,2,57420,Y,61,,,25.18,0,252.53,1,Auto,Budget,Standard,277.72,2,moto,F
247,M,M,0,77000,N,44,,,3.93,3.73,26.69,1,CH,FreeLocal,Standard,34.35,4,moto,T
249,M,M,2,47639.1,N,48,,,17.48,0,39.62,0,CC,Budget,Intnl_discount,57.11,4,moto,F
250,F,M,2,63234.5,Y,52.36,,,0,0,1.16,0,CH,FreeLocal,Intnl_discount,1.16,3,sam,F
254,F,M,2,18296.4,Y,42.626667,,,0.08,0,10.39,0,CC,FreeLocal,Standard,10.47,3,sam,F
255,F,S,0,39461,N,22.226667,,,22.87,0.28,103.52,1,CC,FreeLocal,Standard,126.68,4,sam,T
257,F,S,1,68000,N,60,,,22.82,0,63.29,0,Auto,FreeLocal,Standard,86.12,3,sam,F
260,F,M,2,52957,Y,39.746667,,,25.79,0,125.52,2,CH,FreeLocal,Standard,151.32,2,sam,F
261,F,S,2,86747.1,N,64.853333,,,20.15,0,37.24,0,Auto,Budget,Standard,57.4,3,sam,F
263,F,M,1,87404.6,N,63.186667,,,21.63,0,139.2,0,Auto,Budget,Standard,160.84,3,sam,F
264,M,S,2,20919,N,27.886667,,,6.26,4.92,153.36,0,CC,FreeLocal,Intnl_discount,164.54,2,sam,F
265,F,M,2,85394,Y,20.16,,,19.28,2.02,14.38,1,Auto,Budget,Intnl_discount,35.69,4,sam,F
266,F,S,0,2121.36,N,39.786667,,,2.02,0,36.78,1,CC,FreeLocal,Standard,38.8,3,sam,T
267,F,M,2,63566.1,Y,56.3,,,7.94,0,65.09,0,CH,Budget,Intnl_discount,73.03,2,sam,F
270,F,S,0,89813.6,N,12.846667,,,14.94,1.96,149.26,0,CC,FreeLocal,Intnl_discount,166.18,4,sam,F
272,F,M,2,82644.2,Y,33.493333,,,21.97,0,19.88,0,CC,FreeLocal,Intnl_discount,41.85,4,sam,F
273,F,S,1,27783.6,N,14.04,,,4.97,6.53,18.07,0,CC,FreeLocal,Standard,29.58,3,sam,T
276,F,M,2,60485.5,N,41.666667,,,11.7,0,28.7,0,Auto,Budget,Intnl_discount,40.41,1,sam,F
279,F,M,2,809.43,Y,31.913333,,,0,0,2.89,0,CH,FreeLocal,Intnl_discount,2.89,1,sam,F
280,M,S,1,76529.8,N,58.28,,,18.46,5.36,20.05,0,CC,Budget,Standard,43.89,1,sam,T
281,F,M,2,34577.7,N,63.253333,,,29.18,0,116.57,3,CH,Budget,Standard,145.75,2,sam,F
283,F,M,0,80000,N,48,,,27.56,0,45.46,0,Auto,Budget,Standard,73.02,3,sam,F
284,F,S,2,19008.4,Y,52.166667,,,10.54,0,137.19,0,CC,FreeLocal,Standard,147.74,4,sam,T
285,F,M,0,98056.3,N,55.966667,,,23.7,0,126.96,0,Auto,FreeLocal,Standard,150.67,3,sam,F
286,M,M,0,73400,Y,64.226667,,,0,0,2.21,0,CH,Budget,Standard,2.21,4,sam,T
288,M,M,0,78894.2,N,28,,,2,1.41,43.23,0,CH,Budget,Intnl_discount,46.65,2,sam,F
289,M,S,1,16432.1,Y,20.92,,,20.41,8.89,80.47,0,CH,Budget,Intnl_discount,109.78,1,sam,T
290,M,M,0,62797.9,N,54.446667,,,8.32,4.28,55.48,0,CH,Budget,Intnl_discount,68.09,1,sam,T
291,M,S,1,71329.9,Y,42.233333,,,14.27,3.55,45.92,0,CC,Budget,Standard,63.75,3,sam,T
295,F,S,0,20913.6,N,53.013333,,,22.99,7.16,65.77,0,CC,FreeLocal,Standard,95.93,4,sam,T
298,F,S,1,540.4,Y,39.213333,,,12.34,0,7.75,0,Auto,Budget,Intnl_discount,20.1,4,sam,T
302,M,M,2,67339.8,N,17.006667,,,27.83,5.19,48.69,0,CC,FreeLocal,Intnl_discount,81.72,2,sam,F
304,M,M,1,75799.9,N,46.38,,,22.24,7.02,64.8,0,CC,FreeLocal,Intnl_discount,94.06,3,sam,T
305,F,S,2,15688.5,N,53.06,,,14.39,0,8.03,0,CC,Budget,Standard,22.42,4,sam,T
306,F,S,0,43382.3,N,16.073333,,,29.67,8.76,99.94,0,CH,FreeLocal,Standard,138.37,2,sam,T
308,F,S,0,5185.31,N,62.053333,,,16.39,5.99,30.51,0,CC,FreeLocal,Intnl_discount,52.9,2,sam,T
309,F,S,0,41000,N,16.06,,,26.01,0,108.44,0,CC,Budget,Standard,134.45,4,sam,T
310,F,S,0,32098,N,22.433333,,,22.96,8.28,75.27,0,CH,Budget,Intnl_discount,106.53,2,sam,T
312,F,M,2,80087.7,N,41.92,,,8.74,0,22.82,0,CC,FreeLocal,Standard,31.56,4,sam,F
313,F,M,2,59691.3,N,38.04,,,21.94,0,256.7,0,CC,Budget,Standard,278.65,2,sam,F
315,F,S,2,11251.1,Y,61,,,28.42,0,113.48,0,CC,FreeLocal,Standard,141.91,2,sam,T
317,M,M,0,70908.7,N,49.62,,,7.7,4.55,43.2,0,CC,FreeLocal,Standard,55.47,4,sam,T
318,M,S,0,94928.3,N,40.18,,,14.42,5.61,73.74,0,CH,FreeLocal,Standard,93.78,4,sam,T
320,F,M,2,50622.3,N,40.46,,,20.45,2.07,90.19,0,Auto,FreeLocal,Standard,112.72,2,sam,F
322,M,M,0,78000,Y,52.266667,,,16.2,4.27,18.84,0,CC,FreeLocal,Intnl_discount,39.32,3,sam,T
326,M,M,0,100020,Y,52.266667,,,29.55,0,62.81,0,CH,Budget,Standard,92.37,4,sam,T
329,F,M,1,56722.8,N,60.593333,,,17.37,6.21,51.17,0,CC,FreeLocal,Standard,74.77,2,sam,F
331,M,M,1,80000,N,53.213333,,,0,0,3.22,0,CC,Budget,Intnl_discount,3.22,3,sam,T
332,F,S,2,3416.62,Y,22.76,,,18.97,0,104.73,0,CC,Budget,Standard,123.7,4,sam,T
333,F,M,0,73400,Y,55.633333,,,0.17,0,10.22,0,Auto,Budget,Standard,10.39,2,sam,F
334,M,M,0,120000,Y,53.213333,,,15.27,0,25.62,0,CC,FreeLocal,Standard,40.9,4,sam,T
335,F,M,2,8032.16,N,45.666667,,,29.68,0,59.08,0,CC,FreeLocal,Standard,88.77,2,sam,F
336,F,S,1,93454.3,Y,48.533333,,,18.94,0,25.18,0,Auto,FreeLocal,Standard,44.13,4,sam,F
337,M,M,0,5745,Y,15.38,,,26.4,0,17.71,0,CC,FreeLocal,Standard,44.11,1,sam,T
338,F,S,0,83287,N,77,,,0.41,7.35,208.19,0,Auto,Budget,Standard,215.96,4,sam,F
339,F,S,0,92564.1,Y,49.133333,,,23.17,0,51.68,0,Auto,FreeLocal,Standard,74.86,3,sam,F
341,M,S,0,86448.2,Y,38.133333,,,4.91,3.14,82.19,0,CC,Budget,Intnl_discount,90.25,2,sam,F
343,F,M,2,48322.5,Y,49.333333,,,6.69,0,43.6,0,CC,FreeLocal,Standard,50.29,1,sam,F
346,F,M,2,81913.8,Y,49.66,,,6.7,0,46.33,0,CC,FreeLocal,Standard,53.03,1,sam,F
349,F,S,0,919.93,N,38.26,,,27.28,0,93.42,0,CH,Budget,Standard,120.71,3,sam,T
350,F,M,2,69486.8,N,30.946667,,,7.72,0,9.39,1,CC,Budget,Standard,17.11,1,sam,F
351,F,M,2,24482.8,N,33.533333,,,0,0,2,0,CH,Budget,Intnl_discount,2,4,sam,F
353,F,M,0,14573.6,N,64.606667,,,26.61,0,236.97,0,CC,Budget,Standard,263.58,4,sam,F
354,F,M,2,92103.8,N,52.153333,,,7.42,0,7.43,0,CC,Budget,Standard,14.86,3,sam,F
355,F,S,2,8392.14,Y,36.68,,,25.03,7.33,54.8,0,CH,Budget,Intnl_discount,87.16,3,sam,T
356,F,S,0,17138.2,N,63.786667,,,20.01,0,84.67,0,CC,FreeLocal,Intnl_discount,104.69,3,sam,T
358,F,M,2,47010.1,N,57.406667,,,2.54,0,164.76,0,CC,Budget,Intnl_discount,167.31,1,sam,F
360,F,S,1,67239.4,N,44.433333,,,12.89,0,53.81,0,Auto,FreeLocal,Intnl_discount,66.7,2,sam,F
361,M,M,1,69406.7,Y,30,,,6.9,7.21,128.1,1,CC,FreeLocal,Standard,142.23,2,sam,F
363,F,M,2,83259.3,N,50.88,,,0,0,4.46,0,CC,Budget,Standard,4.46,4,sam,F
365,M,S,2,60095.2,Y,23.313333,,,1.71,0,116.14,0,Auto,Budget,Standard,117.85,2,sam,F
370,F,M,2,2185.6,N,52.513333,,,7.12,0,20.95,1,CH,Budget,Standard,28.07,1,sam,F
372,M,M,1,76511.3,N,62.08,,,21.68,3.46,17.37,0,CC,FreeLocal,Standard,42.52,2,sam,T
374,F,M,1,6946.07,N,23,,,25.77,0,8.84,0,CH,FreeLocal,Standard,34.61,2,sam,T
375,F,M,2,11234.7,Y,49.046667,,,0.69,0,112.72,0,CC,Budget,Standard,113.42,3,sam,F
377,F,M,2,36660.9,Y,39.96,,,0,0,3.36,1,CH,Budget,Intnl_discount,3.36,1,sam,F
379,F,M,2,68462.8,N,34.4,,,24.39,5.93,60.51,0,CC,FreeLocal,Standard,90.84,2,sam,F
382,F,M,2,72841.3,N,47.02,,,10.36,0,72.16,0,CC,Budget,Standard,82.53,1,sam,F
383,F,M,2,63670.8,Y,46.146667,,,27.39,0,51.47,0,Auto,FreeLocal,Standard,78.87,2,sam,F
384,M,S,0,83287,N,45.486667,,,29.73,5.24,35.73,0,CC,Budget,Standard,70.7,2,sam,T
385,F,S,1,66000,Y,45.486667,,,20.44,0,100.08,0,Auto,Budget,Standard,120.53,1,sam,F
386,M,M,0,12387.6,N,56.173333,,,7,0,65.93,0,Auto,FreeLocal,Standard,93.85,2,sam,F
388,F,M,1,82931.3,N,64.64,,,19.24,0,118,0,Auto,FreeLocal,Standard,137.25,2,sam,F
389,F,M,2,57483.9,N,44.026667,,,17.01,0,27.29,0,CH,Budget,Standard,44.3,2,sam,F
391,F,S,2,21274,N,45.526667,,,10.87,0,32.43,0,Auto,FreeLocal,Standard,43.31,2,sam,T
392,F,M,2,28267,N,30.093333,,,21.87,0,192.53,0,CC,FreeLocal,Standard,214.41,2,sam,F
